# === PPO_STATS_BEGIN ===
total_completed=2556
best_reward=229.534518
best_reward_ts=2026-01-02 22:26:08
best_reward_run=2026-01-02 22:06:26
best_reward_ep=(29/10000)
best_survival=300.503
best_survival_ts=2026-01-08 16:20:00
best_survival_run=2026-01-08 15:10:41
best_survival_ep=(114/10000)
# === PPO_STATS_END ===

========
[RUN] 2025-12-30 20:49:12  episodes=10000 eval=False
[STATS] total_completed=0 | best_reward=N/A | best_survival=N/A
idx	reward	survival_sec	note
(43/10000)	15.924245	16.730	
(44/10000)	27.327989	22.044	
(45/10000)	42.123549	30.087	
(46/10000)	34.100000	23.671	
(47/10000)	18.276479	18.016	
(48/10000)	31.282436	24.808	
(49/10000)	31.893723	23.995	
(50/10000)	42.432539	30.255	
(51/10000)	26.119582	23.013	
(52/10000)	22.024537	20.615	
(53/10000)	27.938803	24.194	
(54/10000)	23.918254	22.974	
(55/10000)	23.072832	19.278	
(56/10000)	22.476298	19.213	
(57/10000)	36.718956	25.969	
(58/10000)	23.115198	20.609	
(59/10000)	24.204398	21.361	
(60/10000)	22.467738	20.813	
(61/10000)	26.453974	21.142	
(62/10000)	31.070383	24.177	
(63/10000)	34.573681	25.133	
(64/10000)	32.825442	25.193	
(65/10000)	53.436548	34.695	
(66/10000)	19.517648	19.615	
(67/10000)	20.958664	19.861	
(68/10000)	30.269729	24.901	
(69/10000)	42.116432	31.130	
(70/10000)	26.429562	22.011	
(71/10000)	33.700000	23.933	
(72/10000)	45.467808	30.200	
(73/10000)	27.848671	22.616	
(74/10000)	34.004092	24.910	
(75/10000)	31.962909	25.305	
(76/10000)	25.874168	22.007	
(77/10000)	23.245094	21.157	
(78/10000)	32.836145	25.396	
(79/10000)	36.898093	30.490	
(80/10000)	27.420292	23.988	
(81/10000)	23.710873	24.594	
(82/10000)	34.248086	31.179	
(83/10000)	27.099054	21.057	
(84/10000)	22.478817	20.833	
(85/10000)	32.189997	25.557	
(86/10000)	42.016785	30.596	
(87/10000)	25.881016	21.751	
(88/10000)	21.904454	20.425	
(89/10000)	20.158622	18.245	
(90/10000)	25.727543	22.126	
(91/10000)	23.943507	20.068	
(92/10000)	27.887961	24.329	
(93/10000)	22.635477	19.282	
(94/10000)	33.104217	25.008	
(95/10000)	22.277001	19.233	
(96/10000)	30.936737	24.327	
(97/10000)	22.002060	21.208	
(98/10000)	72.381004	45.140	
(99/10000)	49.382171	33.389	
(100/10000)	36.294309	25.076	
(101/10000)	33.699953	23.496	
(102/10000)	33.150851	25.571	
(103/10000)	19.308767	17.610	
(104/10000)	16.715442	17.211	
(105/10000)	32.126699	25.086	
(106/10000)	32.831706	25.089	
(107/10000)	25.521228	20.815	
(108/10000)	22.036848	20.228	
(109/10000)	42.723618	32.269	
(110/10000)	45.578389	30.930	
(111/10000)	38.293449	27.016	
(112/10000)	42.651353	29.223	
(113/10000)	35.397658	25.507	
(114/10000)	23.199491	21.672	
(115/10000)	29.298503	24.689	
(116/10000)	25.451955	26.677	
(117/10000)	21.788866	22.277	
(118/10000)	15.827884	21.079	
(119/10000)	17.233209	20.651	
(120/10000)	23.317394	19.827	
(121/10000)	22.080682	19.761	
(122/10000)	22.346069	19.321	
(123/10000)	15.439652	19.703	
(124/10000)	33.709367	29.366	
(125/10000)	17.767041	18.112	
(126/10000)	32.745223	25.789	
(127/10000)	26.024092	23.472	
(128/10000)	27.807557	22.476	
(129/10000)	28.700000	23.410	
(130/10000)	58.086022	39.091	
(131/10000)	19.238650	19.672	
(132/10000)	-4.900000	0.311	
(133/10000)	0.000000	74.913	ABORTED

========
[RUN] 2025-12-31 21:08:35  episodes=10000 eval=False
[STATS] total_completed=257 | best_reward=73.494 | best_survival=45.14s
idx	reward	survival_sec	note
(1/10000)	46.232832	33.827	
(2/10000)	45.300000	29.095	
(3/10000)	27.204301	22.824	
(4/10000)	28.587764	23.499	
(5/10000)	18.821628	18.980	
(6/10000)	36.698547	26.824	
(7/10000)	34.300000	25.104	
(8/10000)	42.360877	31.476	
(9/10000)	33.157458	26.120	
(10/10000)	32.159041	24.223	
(11/10000)	15.702213	16.727	
(12/10000)	30.609826	25.368	
(13/10000)	55.014057	40.102	
(14/10000)	29.952767	23.833	
(15/10000)	36.699742	24.624	
(16/10000)	36.819619	25.120	
(17/10000)	40.072712	28.717	
(18/10000)	33.131121	25.219	
(19/10000)	30.950562	23.475	
(20/10000)	65.581754	39.564	
(21/10000)	27.541656	22.322	
(22/10000)	22.868780	20.249	
(23/10000)	31.599747	25.105	
(24/10000)	27.364955	22.468	
(25/10000)	19.869965	19.994	
(26/10000)	23.077472	22.151	
(27/10000)	23.276089	19.762	
(28/10000)	20.428267	18.875	
(29/10000)	35.722032	27.108	
(30/10000)	27.279054	22.978	
(31/10000)	32.375129	23.754	
(32/10000)	28.597397	23.163	
(33/10000)	26.269506	20.904	
(34/10000)	30.198010	23.997	
(35/10000)	41.869492	30.302	
(36/10000)	21.599123	20.033	
(37/10000)	30.100000	21.638	
(38/10000)	27.575866	21.542	
(39/10000)	56.100000	35.277	
(40/10000)	31.196465	23.064	
(41/10000)	31.387418	24.006	
(42/10000)	26.371065	22.124	
(43/10000)	46.373417	30.835	
(44/10000)	44.454139	28.711	
(45/10000)	35.951914	25.898	
(46/10000)	20.091009	20.989	
(47/10000)	61.936033	39.087	
(48/10000)	38.360571	27.490	
(49/10000)	45.027084	30.258	
(50/10000)	35.102269	26.143	
(51/10000)	33.643660	25.240	
(52/10000)	42.112373	30.919	
(53/10000)	27.331315	22.871	
(54/10000)	25.363591	20.889	
(55/10000)	25.765553	21.974	
(56/10000)	37.900000	26.490	
(57/10000)	42.371009	29.983	
(58/10000)	37.953862	28.140	
(59/10000)	36.297258	31.421	
(60/10000)	32.335546	31.949	
(61/10000)	22.604217	20.735	
(62/10000)	26.080696	20.452	
(63/10000)	26.754614	30.720	
(64/10000)	18.311079	22.126	
(65/10000)	46.380640	31.038	
(66/10000)	30.079040	23.776	
(67/10000)	45.015839	31.547	
(68/10000)	41.200000	26.979	
(69/10000)	39.200000	28.004	
(70/10000)	47.098386	31.701	
(71/10000)	53.025539	40.005	
(72/10000)	33.003299	25.920	
(73/10000)	31.649329	24.013	
(74/10000)	36.286639	27.697	
(75/10000)	48.050188	32.813	
(76/10000)	47.746681	33.786	
(77/10000)	23.219944	20.646	
(78/10000)	26.129047	22.453	
(79/10000)	45.800000	29.671	
(80/10000)	31.342408	26.202	
(81/10000)	-5.000000	0.318	
(82/10000)	0.000000	961.163	ABORTED

========
[RUN] 2025-12-31 22:11:22  episodes=10000 eval=False
[STATS] total_completed=338 | best_reward=73.494 | best_survival=45.14s
idx	reward	survival_sec	note
(1/10000)	37.738859	27.512	
(2/10000)	23.253180	20.638	
(3/10000)	43.784635	29.799	
(4/10000)	36.968518	27.414	
(5/10000)	29.783271	22.351	
(6/10000)	21.457265	20.296	
(7/10000)	51.215226	34.153	
(8/10000)	23.857258	20.482	
(9/10000)	45.597829	30.398	
(10/10000)	19.940543	20.896	
(11/10000)	40.407307	27.162	
(12/10000)	15.232985	18.813	
(13/10000)	35.628907	26.846	
(14/10000)	28.696437	21.668	
(15/10000)	34.526527	24.259	
(16/10000)	20.789102	19.717	
(17/10000)	47.300000	31.230	
(18/10000)	28.348351	23.306	
(19/10000)	33.979304	25.328	
(20/10000)	40.263563	27.084	
(21/10000)	46.878093	30.830	
(22/10000)	29.450870	21.639	
(23/10000)	49.800000	31.113	
(24/10000)	43.219332	31.272	
(25/10000)	65.399906	39.080	
(26/10000)	31.095950	22.866	
(27/10000)	31.925651	23.875	
(28/10000)	23.446569	19.438	
(29/10000)	11.135393	18.628	
(30/10000)	23.094795	18.779	
(31/10000)	43.204217	32.569	
(32/10000)	26.911454	22.865	
(33/10000)	25.831343	23.346	
(34/10000)	33.900000	25.026	
(35/10000)	35.360179	27.315	
(36/10000)	35.338912	26.463	
(37/10000)	68.063986	44.954	
(38/10000)	29.799461	22.476	
(39/10000)	45.040373	30.463	
(40/10000)	24.152985	20.384	
(41/10000)	28.828671	23.800	
(42/10000)	18.645372	18.028	
(43/10000)	46.201792	32.772	
(44/10000)	40.099859	27.229	
(45/10000)	29.990211	22.367	
(46/10000)	25.754604	23.811	
(47/10000)	20.046374	20.293	
(48/10000)	68.402578	42.079	
(49/10000)	53.262932	37.863	
(50/10000)	32.941949	24.953	
(51/10000)	18.141865	18.040	
(52/10000)	23.608587	21.806	
(53/10000)	51.488754	38.685	
(54/10000)	44.491134	31.168	
(55/10000)	31.077300	24.112	
(56/10000)	41.750480	29.549	
(57/10000)	36.305838	26.874	
(58/10000)	37.114001	26.899	
(59/10000)	20.503118	20.140	
(60/10000)	16.163215	18.101	
(61/10000)	27.655642	23.915	
(62/10000)	71.373351	44.454	
(63/10000)	23.278010	20.527	
(64/10000)	34.741428	26.406	
(65/10000)	33.447221	25.814	
(66/10000)	32.400012	24.862	
(67/10000)	60.070717	40.122	
(68/10000)	50.500000	32.202	
(69/10000)	30.637690	24.982	
(70/10000)	35.565867	25.749	
(71/10000)	25.691371	21.978	
(72/10000)	39.663758	30.254	
(73/10000)	25.031427	21.358	
(74/10000)	34.666235	24.609	
(75/10000)	32.956632	24.153	
(76/10000)	33.208109	23.865	
(77/10000)	33.584290	24.310	
(78/10000)	38.024276	28.751	
(79/10000)	27.505191	23.668	
(80/10000)	51.945094	34.240	
(81/10000)	20.686785	19.339	
(82/10000)	27.417309	23.093	
(83/10000)	38.000000	26.292	
(84/10000)	30.773736	24.149	
(85/10000)	48.176628	31.648	
(86/10000)	34.736431	26.095	
(87/10000)	27.723452	22.595	
(88/10000)	20.797857	19.372	
(89/10000)	23.366347	20.612	
(90/10000)	18.585539	18.036	
(91/10000)	47.727784	33.214	
(92/10000)	30.199672	19.339	ABORTED

========
[RUN] 2026-01-01 09:09:47  episodes=10000 eval=False
[STATS] total_completed=429 | best_reward=73.494 | best_survival=45.14s
idx	reward	survival_sec	note
(1/10000)	34.968253	25.661	
(2/10000)	21.420846	18.842	
(3/10000)	28.624211	21.968	
(4/10000)	41.560955	29.404	
(5/10000)	23.187366	20.950	
(6/10000)	22.800386	19.194	
(7/10000)	31.000000	23.155	
(8/10000)	17.740849	18.900	
(9/10000)	29.045261	22.390	
(10/10000)	24.916966	21.209	
(11/10000)	24.913765	21.489	
(12/10000)	32.900000	24.242	
(13/10000)	25.311176	20.494	
(14/10000)	27.644955	21.542	
